id,position,name,first_name,last_name,twitter_username,twitter_followers,age,nationality,height,weight,minutes,goals,assists,saves,rating,team_name,goals_minutes_coeff,saves_minutes_coeff,assists_minutes_coeff,rating_minutes_coeff,titles
390,Defender,Domingos Duarte,Domingos,Sousa Coutinho Meneses Duarte,None,,26.0,Portugal,192.0,80.0,2109,1,0,0,6.70769,Granada CF,0.000474158368895211,0.0,0.0,0.003180507349454718,0.0
185,Goalkeeper,Álex Remiro,Alejandro,Remiro Gargallo,None,,26.0,Spain,191.0,79.0,2610,0,0,47,6.7069,Real Sociedad,0.0,0.01800766283524904,0.0,0.0025696934865900383,2.0
231,Defender,Víctor Ruíz,Víctor,Ruíz Torre,None,,32.0,Spain,184.0,95.0,1527,1,0,0,6.705,Real Betis,0.0006548788474132286,0.0,0.0,0.004390962671905698,2.0
388,Defender,Carlos Neva,Carlos,Neva Tey,None,,25.0,Spain,174.0,64.0,1719,0,0,0,6.705,Granada CF,0.0,0.0,0.0,0.003900523560209424,0.0
377,Attacker,Jon Morcillo,Jon,Morcillo Conesa,None,,23.0,Spain,183.0,72.0,806,0,2,0,6.70455,Athletic Club,0.0,0.0,0.0024813895781637717,0.008318300248138958,1.0
554,Attacker,Darío Poveda,Darío,Poveda Romera,None,,24.0,Spain,185.0,75.0,4,0,0,0,6.7,Getafe,0.0,0.0,0.0,1.675,0.0
690,Midfielder,Burgui,Jorge,Franco Alviz,None,,28.0,Spain,184.0,75.0,20,0,0,0,6.7,Alaves,0.0,0.0,0.0,0.335,2.0
320,Midfielder,E. Sevikyan,Edgar,Sevikyan,None,,20.0,Russia,173.0,,7,0,0,0,6.7,Levante,0.0,0.0,0.0,0.9571428571428572,0.0
394,Defender,K. Fobi,Kingsley,Fobi,None,,23.0,Ghana,180.0,,44,0,0,0,6.7,Granada CF,0.0,0.0,0.0,0.15227272727272728,0.0
86,Defender,Š. Vrsaljko,Šime,Vrsaljko,None,,29.0,Croatia,181.0,76.0,507,0,0,0,6.7,Atletico Madrid,0.0,0.0,0.0,0.01321499013806706,9.0
232,Defender,Martín Montoya,Martín,Montoya Torralbo,None,,30.0,Spain,175.0,73.0,237,0,0,0,6.7,Real Betis,0.0,0.0,0.0,0.028270042194092827,15.0
416,Midfielder,J. Brunet,Juan Ignacio,Brunet Bordin,None,,23.0,Argentina,190.0,78.0,23,0,0,0,6.7,Granada CF,0.0,0.0,0.0,0.29130434782608694,0.0
559,Attacker,M. Niang,Mamor,Niang,None,,19.0,Senegal,190.0,,21,0,0,0,6.7,Getafe,0.0,0.0,0.0,0.3190476190476191,0.0
51,Midfielder,S. Lucumí,Jeison Steven,Lucumí Mina,None,,26.0,Colombia,177.0,63.0,49,0,0,0,6.7,Elche,0.0,0.0,0.0,0.13673469387755102,3.0
711,Defender,Cote,José Ángel,Valdés Díaz,None,,32.0,Spain,182.0,74.0,308,0,0,0,6.7,Eibar,0.0,0.0,0.0,0.021753246753246754,1.0
615,Midfielder,Oriol Rey,Oriol,Rey Erenas,None,,23.0,Spain,177.0,,14,0,0,0,6.7,Valladolid,0.0,0.0,0.0,0.4785714285714286,0.0
277,Midfielder,Álex Baena,Alejandro,Baena Rodríguez,None,,20.0,Spain,,,126,0,0,0,6.7,Villarreal,0.0,0.0,0.0,0.05317460317460317,0.0
96,Attacker,Hugo Duro,Hugo,Duro Perales,None,,22.0,Spain,177.0,70.0,53,0,0,0,6.7,Real Madrid,0.0,0.0,0.0,0.12641509433962264,0.0
284,Attacker,Dani Raba,Daniel,Raba Antolí,None,,26.0,Spain,184.0,76.0,29,0,0,0,6.7,Villarreal,0.0,0.0,0.0,0.2310344827586207,0.0
57,Midfielder,O. Yokuşlu,Okay,Yokuşlu,None,,27.0,Turkey,190.0,79.0,453,0,0,0,6.7,Celta Vigo,0.0,0.0,0.0,0.014790286975717439,1.0
636,Attacker,Kuki,José Luis,Zalazar Martínez,None,,23.0,Spain,176.0,73.0,28,0,1,0,6.7,Valladolid,0.0,0.0,0.03571428571428571,0.2392857142857143,0.0
262,Defender,Alberto Moreno,Alberto,Moreno Pérez,None,,29.0,Spain,171.0,65.0,6,0,0,0,6.7,Villarreal,0.0,0.0,0.0,1.1166666666666667,4.0
642,Midfielder,I. Marcone,Iván José,Marcone,None,,31.0,Argentina,184.0,90.0,2054,0,0,0,6.69583,Elche,0.0,0.0,0.0,0.003259897760467381,8.0
